Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/APIEndpointController.cs(27,50): error CS0117: 'Response<string>' does not contain a definition for 'Data'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/APIEndpointController.cs(37,55): error CS0117: 'Response<APIEndpoint>' does not contain a definition for 'Data'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/APIEndpointController.cs(47,50): error CS0117: 'Response<string>' does not contain a definition for 'Data'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/APIEndpointController.cs(57,48): error CS0117: 'Response<bool>' does not contain a definition for 'Data'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/APIEndpointController.cs(67,61): error CS0117: 'Response<List<APIEndpoint>>' does not contain a definition for 'Data'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(27,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<string>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(27,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(37,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<ProjectName.Types.SelectTicketPriority>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(37,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(47,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<string>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(47,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(57,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<bool>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(57,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(67,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<System.Collections.Generic.List<ProjectName.Types.SelectTicketPriority>>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/SelectTicketPriorityController.cs(67,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(27,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<string>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(27,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(38,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<System.Collections.Generic.List<ProjectName.Types.UserQuestionnaire>>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(38,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(49,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<ProjectName.Types.UserQuestionnaire>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(49,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(60,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<string>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(60,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(71,24): error CS0266: Cannot implicitly convert type 'ProjectName.Controllers.Response<bool>' to 'Microsoft.AspNetCore.Mvc.IActionResult'. An explicit conversion exists (are you missing a cast?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Controllers/UserQuestionnaireController.cs(71,24): error CS4010: Cannot convert async lambda expression to delegate type 'Task<IActionResult>'. An async lambda expression may return void, Task or Task<T>, none of which are convertible to 'Task<IActionResult>'.
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/APIEndpointService.cs(153,21): error CS0136: A local or parameter named 'existingTags' cannot be declared in this scope because that name is used in an enclosing local scope to define a local or parameter
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/APIEndpointService.cs(181,83): error CS1503: Argument 1: cannot convert from 'System.Guid' to 'string'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/APIEndpointService.cs(182,58): error CS1929: 'IEnumerable<Guid>' does not contain a definition for 'Contains' and the best extension method overload 'MemoryExtensions.Contains<string>(ReadOnlySpan<string>, string)' requires a receiver of type 'System.ReadOnlySpan<string>'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/APIEndpointService.cs(52,118): error CS0841: Cannot use local variable 'apiEndpoint' before it is declared
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/APIEndpointService.cs(52,145): error CS0029: Cannot implicitly convert type 'string' to 'System.Guid'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AllowedGrantTypeService.cs(100,52): error CS1061: 'UpdateAllowedGrantTypeDto' does not contain a definition for 'ChangedUser' and no accessible extension method 'ChangedUser' accepting a first argument of type 'UpdateAllowedGrantTypeDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AllowedGrantTypeService.cs(38,37): error CS1061: 'CreateAllowedGrantTypeDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateAllowedGrantTypeDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AllowedGrantTypeService.cs(39,39): error CS1061: 'CreateAllowedGrantTypeDto' does not contain a definition for 'CreatorId' and no accessible extension method 'CreatorId' accepting a first argument of type 'CreateAllowedGrantTypeDto' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(164,38): error CS0029: Cannot implicitly convert type 'System.Collections.Generic.List<ProjectName.Types.BlogCategory>' to 'System.Collections.Generic.List<System.Guid>'
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(233,87): error CS1061: 'string' does not contain a definition for 'Id' and no accessible extension method 'Id' accepting a first argument of type 'string' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/ArticleService.cs(234,64): error CS1061: 'string' does not contain a definition for 'Id' and no accessible extension method 'Id' accepting a first argument of type 'string' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(120,20): error CS1061: 'Author' does not contain a definition for 'ImageId' and no accessible extension method 'ImageId' accepting a first argument of type 'Author' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(122,20): error CS1061: 'Author' does not contain a definition for 'Version' and no accessible extension method 'Version' accepting a first argument of type 'Author' could be found (are you missing a using directive or an assembly reference?)
Error: /Users/nkostop/Sites/NBG/AutoCode/tempcode/ProjectName/Implementations/AuthorService.cs(123,20): error CS1061: 'Author' does not contain a definition for 'Changed' and no accessible extension method 'Changed' accepting a first argument of type 'Author' could be found (are you missing a using directive or an assembly reference?)
